rsi_period,rsi_overbought,rsi_oversold,atr_tp,atr_sl,total_profit,win_rate,max_drawdown
5,80,25,3,1.5,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,25,3,2.0,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,25,3,2.5,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,25,4,1.5,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,25,4,2.0,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,25,4,2.5,-0.005230000000000068,0.35294117647058826,-0.023239999994984828
5,80,30,2,1.5,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,2,2.0,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,2,2.5,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,3,1.5,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,3,2.0,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,3,2.5,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,4,1.5,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,4,2.0,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
5,80,30,4,2.5,-0.0017700000000000493,0.3888888888888889,-0.023239999994984828
10,70,20,2,1.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,2,2.0,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,2,2.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,3,1.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,3,2.0,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,3,2.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,4,1.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,4,2.0,-0.03192999999999979,0.25,-0.031930000011925586
10,70,20,4,2.5,-0.03192999999999979,0.25,-0.031930000011925586
10,70,25,2,1.5,-0.03192999999999979,0.25,-0.031930000011925586
